Downloaded from FDA Inventory of Effective Food Contact Substance (FCS) Notifications; http://www.hfpappexternal.fda.gov/scripts/fdcc/?set=FCN; Last updated 2/28/2025; downloaded 3/31/2025.

"According to Section 409(h)(1)(C) of the FFDCA, food contact substance notifications (FCNs) are effective only for the listed manufacturer and its customers. Other manufacturers must submit their own FCN for the same food contact substance & intended use."

FCN No,Message,Addl Info description,Addl Info details,Addl Info details 2,Addl Info details 3,Food Contact Substance,FCS REPLACED BY,Notifier,Manufacturer Supplier,Intended Use,Limitations Specifications,Effective Date,NEPA Submission,FDA Decision for NEPA
=T("1365"),,,,,," Siloxanes and silicones, di-Me, Me hydrogen, reaction products with polyethylene-polypropylene glycol monoacetate allyl ether (CAS Reg. No. 68037-64-9).",," Siltech Corporation"," Siltech Corporation"," As a component of emulsion-based defoamers for the manufacture of food-contact paper and paperboard, except for use in contact with infant formula and breast milk (see Limitations/Specifications)."," For use at levels not to exceed 0.2 ppm relative to the slurry.  The FCS may be used in contact with all food under Conditions of Use A through H, as described in Table 2. The safety of usage of the FCS in contact with infant formula and breast milk has not been evaluated.",03/21/2014," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1366"),,,,,," Polysiloxanes, di-Me, 3-hydroxypropyl Me, ethoxylated (CAS Reg. No. 68937-54-2).",," Siltech Corporation"," Siltech Corporation"," As a component of emulsion-based defoamers for the manufacture of food-contact paper and paperboard, except for use in contact with infant formula and breast milk (see Limitations/Specifications)."," For use at levels not to exceed 0.2 ppm relative to the slurry.  The FCS may be used in contact with all food under Conditions of Use A through H, as described in Table 2. The safety of usage of the FCS in contact with infant formula and breast milk has not been evaluated.",03/21/2014," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1367"),,,,,," Siloxanes and silicones, di-Me, 3-hydroxypropyl Me, ethers with polyethylene-polypropylene glycol mono-Me ether (CAS Reg. No. 67762-85-0).",," Siltech Corporation"," Siltech Corporation"," As a component of emulsion-based defoamers for the manufacture of food-contact paper and paperboard, except for use in contact with infant formula and breast milk (see Limitations/Specifications)."," For use at levels not to exceed 0.2 ppm relative to the slurry.  The FCS may be used in contact with all food under Conditions of Use A through H, as described in Table 2. The safety of usage of the FCS in contact with infant formula and breast milk has not been evaluated.",03/21/2014," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1368"),,,,,," 2-propenoic acid, homopolymer, sodium salt (with a weight average molecular weight of 3000 to 7000 Daltons and a weight average molecular weight to number average molecular weight ratio of not more than 3.0) (CAS Reg. No. 9003-04-7).",," Kemira Chemicals, Inc."," Kemira Oyj and its stewarded affiliates and/or subsidiaries around the world"," To control the formation of mineral scale during evaporation of beet or cane sugar juice, except for use in contact with infant formula and breast milk (see Limitations/Specifications)."," The FCS will be used during the evaporation of beet or cane sugar juice liquor at an addition rate not to exceed 3.6 mg/kg (ppm) to the sugar juice liquor.  The safety of usage of the FCS in contact with infant formula and breast milk has not been evaluated.",02/25/2014," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1370"),,,,,," Chlorine dioxide (CAS Reg. No. 10049-04-4).",," CDG Environmental, LLC"," CDG Environmental, LLC"," As an antimicrobial agent in water used to wash fruits and vegetables that are not raw agricultural commodities.  A potable water rinse will no longer be required for those fruits and vegetables that are not further processed by blanching, cooking or canning."," The FCS will be used at levels not to exceed 3 ppm residual chlorine dioxide.",02/25/2014," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1371"),,,,,," 1,3-butadiene, 2-methyl-, homopolymer, of cis-1,4-configuration, cyclized (CAS Reg. No. 68441-13-4).",," Zeon Corporation"," Zeon Corporation"," As a modifier for ethylene-vinyl acetate-vinyl alcohol (EVOH) copolymers complying with 21 CFR 177.1360(a)(3), except for use in contact with infant formula and breast milk (see Limitations/Specifications)."," The FCS will not exceed 27 percent by weight of the EVOH/FCS polymer blend. Food contact materials containing the FCS will not exceed 55 microns (2.2 mils) in thickness and may contact Food Types I, II, IV-B, VI-A, VI-B, VII-B, and VIII, under Conditions of Use C through G as described in Tables 1 and 2. The EVOH/FCS blend may also contain optional adjuvant substances permitted for such use complying with an applicable authorization. The safety of usage of the FCS in contact with infant formula and breast milk has not been evaluated.",02/25/2014," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1374"),,,,,," Phosphonic acid, [[3,5-bis(1,1-dimethylethyl)-4-hydroxyphenyl]methyl]-,diethyl ester (CAS Reg. No. 976-56-7).",," Toyobo Co., LTD"," Toyobo MC Corporation"," The FCS is intended for use as an antioxidant/stabilizer for all polyesters compliant with 21 CFR 177.1630 in contact with all food types, except for use in contact with infant formula and breast milk (see Limitations/Specifications)."," The finished FCS will be used at levels not to exceed 1100 ppm (0.11 weight-percent) for polyesters, in contact with all food types as listed in Table 1 of 21 CFR 176.170 (c) under the Conditions of Use A through H as described in Table 2 of 21 CFR 176.170 (c). The safety of usage of the FCS in contact with infant formula and breast milk has not been evaluated.",02/26/2014," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1375"),,,,,," Petroleum distillates (C<sub>3-6</sub>, piperylene-rich (CAS Reg. No. 68477-35-0) polymers and copolymers with one or more of the following: isobutylene (CAS Reg. No. 115-11-7), styrene (CAS Reg. No. 100-42-5), and &alpha;-methylstyrene (CAS Reg. No. 98-83-5).",," Eastman Chemical Company"," Synthomer Middleburg B.V.<br>Synthomer Jefferson Hills LLC"," As a component of pressure-sensitive adhesives for food contact."," The FCS is intended for use in pressure sensitive adhesives complying with 21 CFR 175.125.",02/28/2014," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1376"),,,,,," Fluorphlogopite-based pearlescent pigments.",," Eckart GmbH<br>Altana AG"," Eckart GmbH<br>Altana AG"," As a colorant in all food contact polymers, except for use in contact with infant formula and breast milk (see Limitations/Specifications)."," For use at levels up to 5% by weight in polymers in contact with all food types under Conditions of Use A through H and J, as described in Tables 1 and 2, respectively. The safety of usage of the FCS in contact with infant formula and breast milk has not been evaluated.",02/28/2014," Categorical Exclusion 25.32(i) and (j)"," Categorical Exclusion Memo"
=T("1377"),,,,,," Glass-based pearlescent pigments.",," Eckart GmbH<br>Altana AG"," Eckart GmbH<br>Altana AG"," As a colorant in all food contact polymers, except for use in contact with infant formula and breast milk (see Limitations/Specifications)."," For use at levels up to 5% by weight in polymers in contact with all food types under Conditions of Use A through H and J, as described in Tables 1 and 2, respectively. The safety of usage of the FCS in contact with infant formula and breast milk has not been evaluated.",02/28/2014," Categorical Exclusion 25.32(i) and (j)"," Categorical Exclusion Memo"
=T("1378"),,,,,," 1,4-Butanediol dimethacrylate (CAS Reg. No. 2082-81-7).",," GEO Specialty Chemicals Inc."," GEO Specialty Chemicals UK Ltd."," As a component of low density polyethylene (LDPE) coatings for use in contact with food, except for use in contact with infant formula and breast milk (see Limitations/Specifications)."," The FCS may be incorporated at a level not to exceed 0.10 mol percent relative to the ethylene concentration. The LDPE may be used as a coating on food contact articles with a coating thickness not to exceed 100 &mu;m, in contact with all food types and under Conditions of use C through G, as described in Tables 1 and 2. The safety of usage of the FCS in contact with infant formula and breast milk has not been evaluated.",03/01/2014," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("1379"),,,,,," An aqueous solution of peroxyacetic acid (CAS Reg. No. 79-21-0), hydrogen peroxide (CAS Reg. No. 7722-84-1), acetic acid (CAS Reg. No. 64-19-7), and 1-hydroxyethylidine-1,1-diphosphonic acid (HEDP, CAS Reg. No. 2809-21-4).",," Synergy Technologies, Inc."," Brainerd Chemical Company, Inc."," As an antimicrobial agent to treat process water or ice as a spray, wash, rinse, dip, chiller water, or scald water for whole or cut poultry including parts, trim, and organs."," Not to exceed use concentrations of 2000 ppm peroxyacetic acid (PAA), 728 ppm hydrogen peroxide, and 13.3 ppm of HEDP for poultry.",03/01/2014," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1380"),,,,,," The reaction products of paraformaldehyde (CAS Reg. No. 30525-89-4) and ethylene glycol (CAS Reg No. 107-21-1).",," Troy Corporation"," Troy Corporation"," As a stabilizer for aqueous biocides used to preserve filler or other additive mixtures or coating solutions for use in uncoated or clay-coated paper and paperboard intended to contact food, except for use in contact with infant formula and breast milk (see Limitations/Specifications)."," The FCS may be used at a level not to exceed 150 ppm of the filler or additive mixture, or 75 ppm of the coating solution.   The finished paper may be used in contact with all food types under all use conditions.  The FCS is not for use in contact with infant formula and breast milk.  Such uses were not included as part of the intended use of the substance in the FCN.",05/15/2014," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1381"),,,,,," Carbon black (amorphous, lamp black) (CAS Reg. No. 1333-86-4).",," Freudenberg Sealing Technologies GmbH & Co. KG, Germany"," Orion Engineered Carbons GmbH, Germany"," To improve the physical properties like tensile strength of repeat-use elastomeric articles, including o-rings and gaskets, which may contact food, except for use in contact with infant formula and breast milk (see Limitations/Specifications)."," The FCS will be used at levels not to exceed 50% by weight in the finished articles in compliance with 21 CFR 177.2600.  The safety of usage of the FCS in contact with infant formula and breast milk has not been evaluated.",03/04/2014," Categorical Exclusion 25.32(j)"," Categorical Exclusion Memo"
=T("1382"),,,,,," Oxirane, 2-ethyl, polymer with 2-methyloxirane, monododecyl ether (CAS Reg. No. 139873-90-8).",," The Dow Chemical Company"," The Dow Chemical Company"," As a lubricant with incidental food contact, consistent with 21 CFR 178.3570 for repeat-use applications, except for use in contact with infant formula and breast milk (see Limitations/Specifications)."," For use at levels not to exceed the minimum amount necessary to achieve the intended technical effect on machinery used in the production or processing of food. Addition to food not to exceed 10 parts per million. The FCS is not for use in contact with infant formula and breast milk.  Such uses were not included as part of the intended use of the substance in the FCN.",05/16/2014," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1384"),,,,,," An aqueous mixture of peroxyacetic acid (CAS Reg. No. 79-21-0), hydrogen peroxide (CAS Reg. No. 7722-84-1), sodium hydroxide (CAS Reg. No. 1310-73-2), and glycerine (CAS Reg. No. 56-81-5).",," Enviro Tech Chemical Services, Inc."," Enviro Tech Chemical Services, Inc."," As an antimicrobial agent added to process water or ice used for preparing whole and cut meat and whole or cut poultry products, including hides, parts, trim and organs, and for processing fruits and vegetables."," The final process water or ice used for washing, rinsing, cooling, or otherwise for processing will not exceed: 1) 400 ppm peroxyacetic acid and 100 ppm hydrogen peroxide for whole or cut meat products, 2) 1000 ppm peroxyacetic acid and 250 ppm hydrogen peroxide for whole or cut poultry products, 3) 2000 ppm peroxyacetic acid and 500 ppm hydrogen peroxide for poultry post-chiller or dip tanks prior to air chillers, and 4) 350 ppm peroxyacetic acid and 87.5 ppm hydrogen peroxide for fruits and vegetables.",03/06/2014," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1387"),,,,,," A mixture of 2-ethylhexyl acrylate (CAS Reg. No. 103-11-7), acrylic acid (CAS Reg. No. 79-10-7), methacrylic acid (CAS Reg. No. 79-41-4), methyl methacrylate (CAS Reg. No. 80-62-6) and styrene (CAS Reg. No. 100-42-5).",," The Valspar Corporation"," Sherwin-Williams Company"," As an epoxy resin modifier for use in thermoset coatings for light metal beverage packaging, except for packaging intended to contact fatty foods, foods containing more than 15 percent alcohol, and infant formula."," The acrylic portion of the FCS mixture will consist of < 35 weight percent styrene and the total FCS mixture will not exceed 20 weight percent of the epoxy resin phenol, 4,4-(1-methylethylidene)bis-, polymer with 2,2-[(1-methylethylidene)bis(4,1-phenyleneoxymethylene)]bis[oxirane] (CAS Reg. No. 25036-25-3). The modified epoxy resin is further reacted with a phenolic resin manufactured from the reaction of phenol (CAS Reg. No. 108-95-2) with formaldehyde (CAS Reg. No. 50-00-0). The final coating containing the FCS may contact all foods under Conditions of Use C through G, with the exception of fatty foods (Food Types III, IV-A, V, VII-A, and IX), foods containing greater than 15 percent alcohol, and infant formula. Such uses were not included as part of the intended use of the substance in the FCN.",07/08/2014," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("1388"),,,,,,," REPLACED BY FCN 1533",,,,,," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1389"),,,,,," A aqueous mixture containing peroxyacetic acid (CAS Reg. No. 79-21-0), hydrogen peroxide (CAS Reg. No. 7722-84-1), acetic acid (CAS Reg. No. 64-19-7), 1-hydroxyethylidene-1,1-diphosphonic acid (CAS Reg. No. 2809-21-4), and, optionally, sulfuric acid (CAS Reg. No. 7664-93-9).",," Alex C. Fergusson, LLC (AFCO)"," Alex C. Fergusson, LLC (AFCO)"," The FCS will be used as an antimicrobial agent in process water and ice used in the production and preparation of poultry, meat, processed and pre-formed meat and poultry, fish and seafood, and fruits and vegetables."," The components of the FCS mixture will not exceed: (1) 2000 ppm peroxyacetic acid (PAA), 800 ppm hydrogen peroxide (HP), and 96 ppm 1-hydroxyethylidine-1,1-diphosphonic acid (HEDP) in spray, wash, rinse, dip, chiller water, low-temperature (e.g., less than 40&deg;F) immersion baths, or scald water for whole or cut poultry carcasses, parts, trim, and organs; (2) 388 ppm PAA, 155 ppm HP, and 19 ppm HEDP in process water or ice used for washing, rinsing, storing, or cooling whole or cut meat, including carcasses, parts, trim, and organs; (3) 230 ppm PAA, 92 ppm HP, and 11 ppm HEDP in process water, ice, or brine used for washing, rinsing, storing, or cooling of processed and pre-formed meat as defined in 21 CFR 170.3(n)(29) and poultry as defined in 21 CFR 170.3(n)(34); (4) 230 ppm PAA, 92 ppm HP, and 11 ppm HEDP in process water or ice used during commercial preparation of fish and seafood; and (5) 80 ppm PAA, 32 ppm HP, and 4 ppm HEDP in process water for washing or chilling fruits and vegetables in food processing facilities.",03/14/2014," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1390"),,,,,," Styrene block polymer with 1,3-butadiene, hydrogenated (CAS Reg. No. 66070-58-4)",," Kuraray Co., Ltd.<br>Kuraray America, Inc.<br>Kuraray Europe GmbH"," Kuraray Co., Ltd.<br>Kuraray America, Inc.<br>Kuraray Europe GmbH"," For use in blends with other polymers in food-contact articles, except for use in contact with infant formula and breast milk (see Limitations/Specifications)."," The finished articles may be used in contact with fatty food under Conditions of Use A through H as described in Table 2. The safety of usage of the FCS in contact with infant formula and breast milk has not been evaluated.",03/14/2014," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1391"),,,,,," Octadecanoic acid, 9(<i>or</i> 10)-hydroxyphenyl- (CAS Reg. No. 26102-12-5).",," Akzo Nobel Coatings Inc.<br>Akzo Nobel Coatings (Tianjin) Co., Ltd.<br>Akzo Nobel Coatings (Jiaxing) Co., Ltd.<br>LLC Petrokom Lipetsk<br>Server Boya Matbaa Mürekkeplen ve Vernik Sanayi ve Ticaret A.S.<br>Akzo Nobel Performance Coatings (Shanghai) Co., Ltd.<br>Akzo Nobel Industrial Finishes AB<br>Akzo Nobel Industrial Coatings Sdn Bhd<br>Akzo Nobel Packaging Coatings Limited<br>Akzo Nobel Packaging Coatings S.A.S.<br>Akzo Nobel Packaging Coatings GmbH<br>Akzo Nobel Packaging Coatings S.A."," Akzo Nobel Coatings Inc.<br>Akzo Nobel Coatings (Tianjin) Co., Ltd.<br>Akzo Nobel Coatings (Jiaxing) Co., Ltd.<br>LLC Petrokom Lipetsk<br>Server Boya Matbaa Mürekkeplen ve Vernik Sanayi ve Ticaret A.S.<br>Akzo Nobel Performance Coatings (Shanghai) Co., Ltd.<br>Akzo Nobel Industrial Finishes AB<br>Akzo Nobel Industrial Coatings Sdn Bhd<br>Akzo Nobel Packaging Coatings Limited<br>Akzo Nobel Packaging Coatings S.A.S.<br>Akzo Nobel Packaging Coatings GmbH<br>Akzo Nobel Packaging Coatings S.A."," For use as a co-reactant in the production of polyester resins applied to metal substrates for use in contact with food, except for use in contact with infant formula and breast milk (see Limitations/Specifications)."," Polyesters containing the FCS are cured with phenolic resins. The maximum FCS level in the cured coating is 13.5%. The finished coatings will otherwise comply with FDA regulations for their intended use, and may contact all food types under Conditions of Use A through H as described in Table 2. The safety of usage of the FCS in contact with infant formula and breast milk has not been evaluated.",03/19/2014," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("1393"),,,,,," Amines, C<sub>10</sub>-C<sub>18</sub>-alkyldimethyl, N-oxides.",," Goulston Technologies, Inc."," Goulston Technologies, Inc."," As an anti-static agent for topical treatments over the surface of a polystyrene (PS) or polyester polymer film or sheet for use in contact with food, except for use in contact with infant formula and breast milk (see Limitations/Specifications)."," The FCS may be applied at levels up to 2.5 mg/m<sup>2</sup> (1.6 &mu;g/in<sup>2</sup>) for PS and 0.75 mg/m<sup>2</sup> (0.5 &mu;g/in<sup>2</sup>) for polyester. Articles made from the FCS may be used for packaging in contact with the food types and conditions of use permitted for the PS or polyester. The safety of usage of the FCS in contact with infant formula and breast milk has not been evaluated.",03/19/2014," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("1394"),,,,,," An aqueous mixture containing peroxyacetic acid (CAS Reg. No. 79-21-0); hydrogen peroxide (CAS Reg. No. 7722-84-1); acetic acid (CAS Reg. No. 64-19-7); 1-hydroxyethylidene-1,1-diphosphonic acid (HEDP) (CAS Reg. No. 2809-21-4), and optionally sulfuric acid (CAS Reg. No. 7664-93-9).",," PeroxyChem, LLC"," Evonik Active Oxygens, LLC"," As an antimicrobial in process water or ice for washing, rinsing, cooling, or storing of whole or cut meat including carcasses, parts, trim, and organs."," The components of the food-contact substance mixture will not exceed 400 ppm peroxyacetic acid, 267 ppm hydrogen peroxide, and 27 ppm 1-hydroxyethylidene-1, 1-diphosphonic acid (HEDP).",03/20/2014," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1395"),,,,,," 1,3-Benzenedicarboxamide, N,N-bis(2,2,6,6-tetramethyl-4-piperidinyl) (CAS Reg. No. 42774-15-2).",," Clariant International AG"," Clariant International AG"," As a processing stabilizer in polyethylene terephthalate (PET) homo- and co-polymers, complying with all applicable authorizations, except for use in contact with infant formula or breast milk. (see Limitations/Specifications)."," At a level not to exceed 0.5 wt-% in PET homo- and co-polymers used to make articles in contact with all food types under the Conditions of Use C through H, as described in Tables 1 and 2.  The safety of usage of the FCS in contact with infant formula and breast milk has not been evaluated.",03/21/2014," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("1396"),,,,,," Mixture of 5-chloro-2-methyl-4-isothiazolin-3-one (CIT; CAS Reg. No. 26172-55-4) and 2-methyl-4-isothiazolin-3-one (MIT; CAS Reg. No. 2682-20-4), at a ratio of 3 parts to 1 part by weight, optionally stabilized with magnesium or sodium nitrate and copper (II) nitrate.",," Thor GmbH"," Thor GmbH"," As a biocide in polymer latex emulsions, coating formulations and additives for coating formulations used for food packaging, except for use in contact with infant formula and breast milk (see Limitations/Specifications)."," For use at CIT and MIT levels equivalent to those specified in 21 CFR 176.170, further stabilized with up to 0.15% copper (II) nitrate. The safety of usage of the FCS in contact with infant formula and breast milk has not been evaluated.",03/25/2014," Categorical Exclusion 25.32(q)"," Categorical Exclusion Memo"
=T("1397"),,,,,," Copolymer of polyethylene glycol dimethacrylate, trimethylolpropane trimethacrylate and 2-hydroxyethyl methacrylate.",," Smithers Pira"," Pall Corporation"," Use as repeat microbial filter intended to clarify beer and wine."," The FCS will be used in a membrane cartridge for filtration of beer and wine. The membrane cartridge is to be manufactured and used as specified in the submission.",03/25/2014," Categorical Exclusion 25.32(j)"," Categorical Exclusion Memo"
=T("1398"),,,,,," Polymer of 3-hydroxybutyric acid with up to 25% 3-hydroxyvaleric acid, 3-hydroxyhexanoic acid, 3-hydroxyoctanoic acid, and/or 3-hydroxydecanoic acid.",," Meredian, Inc."," Meredian, Inc."," For use in the manufacture of food contact materials, except for use in contact with infant formula and breast milk (see Limitations/Specifications)."," The finished articles may contact  all food types under Conditions of Use B through H, as described in Tables 1 and 2, respectively.  The safety of usage of the FCS in contact with infant formula and breast milk has not been evaluated.",03/27/2014," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1399"),,,,,," Ethylene-vinyl acetate-vinyl alcohol (EVOH) copolymers modified with up to 8 mol% 1,2-epoxypropane (CAS Reg. No. 482589-30-0).",," Kuraray Co., Ltd."," Kuraray Co., Ltd."," As an internal, non-food-contact layer separated from food by one or more layers having a suitable regulatory status for use in direct contact with food in single service and repeated-use food-contact articles both (1) as a stand-alone layer; or (2) at levels of up to 30% in blends with EVOH, except for use in contact with infant formula and breast milk (see Limitations/Specifications)."," (1) The maximum thickness of the internal layer when the FCS is used alone will be 50 &mu;m. The finished food-contact articles may be used in contact with Food Types I, II, III, IVA, IVB, V, VIA, VIB, VIC (up to 15% alcohol), VIIA, VIIB, VIII, and IX under Conditions of Use A through H as defined in Tables 1 and 2. (2) The maximum thickness of the internal layer when the FCS is used in blends with EVOH will be determined by the relationship: (50 &mu;m)/(x), where x is the fraction of the FCS in the blend. The finished food-contact articles may be used in contact with Food Types I, II, III, IVA, IVB, V, VIA, VIB, VIC (up to 15% alcohol), VIIA, VIIB, VIII, and IX under Conditions of Use A through H as defined in Tables 1 and 2. The safety of usage of the FCS in contact with infant formula and breast milk has not been evaluated.",03/29/2014," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1400"),,,,,," Chlorine dioxide (CAS Reg. No. 10049-04-4).",," Clordisys Solutions, Inc."," Clordisys Solutions, Inc."," As an antimicrobial agent in water used in poultry processing and to wash fruits and vegetables that are not raw agricultural commodities."," The FCS will be used in an amount not to exceed 3ppm residual chlorine dioxide as determined by Method 4500-CI02-D, modified for use with the Hach Spectrophotometer, or equivalent.  The FCS will be generated by the reaction between chlorine gas and a solid matrix of sodium chlorite.  Treatment of the fruits and vegetables shall be followed by a potable water rinse, blanching, cooking, or canning.",04/01/2014," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1401"),,,,,," Polyethylene glycol (400) monooleate (CAS Reg. No. 9004-96-0).",," Eastern Technologies, Inc."," Eastern Technologies, Inc."," As an anti-corrosive agent in the steam header and steam lines of boiler systems in which the steam will contact food, except for infant formula and its ingredients (see Limitations/Specifications)."," The FCS is to be continuously added into the steam header to maintain a maximum concentration of 2 ppm in the steam. Usage of the FCS must meet any applicable provisions prescribed in 21 CFR 173.310. The FCS is not for use in the processing of infant formula or its ingredients. Such use was not included as part of the intended use of the substance in the FCN.",06/26/2014," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1403"),,,,,," Copolymer of polyethylene glycol dimethacrylate, trimethylolpropane trimethacrylate and 2-hydroxyethyl methacrylate.",," Smithers Pira"," Pall Corporation"," To be used in repeat-use membrane filtration of beer and water for microbial removal and clarification, except for use in filtration of water used in processing infant formula (see Limitations/Specifications)."," The FCS will be used in a membrane cartridge for filtration of beer and water. The membrane cartridge is to be manufactured and used as specified in the submission. The FCS is not for use in filtration of water for use in processing infant formula. Such use was not included as part of the intended use of the substance in the FCN.",04/11/2014," Categorical Exclusion 25.32(j)"," Categorical Exclusion Memo"
=T("1404"),,,,,," Heat-treatable steel alloy (FCN 1404) and low melting silver based brazing alloys (FCN 1405).",," CERATIZIT S.A."," CERATIZIT S.A."," The FCSs are intended for repeat use as base material with cemented carbide grades for knives, cutters, and other tools for food processing (FCN 1404) and for joining steel body and tungsten carbide knives, cutters, or other tungsten carbide tools (FCN 1405)."," The FCSs will be used in contact with all food types in the pH range of >7 for repeat use articles.",04/15/2014," Categorical Exclusion 25.32(j)"," Categorical Exclusion Memo"
=T("1405"),,,,,," Heat-treatable steel alloy (FCN 1404) and low melting silver based brazing alloys (FCN 1405).",," CERATIZIT S.A."," CERATIZIT S.A."," The FCSs are intended for repeat use as base material with cemented carbide grades for knives, cutters, and other tools for food processing (FCN 1404) and for joining steel body and tungsten carbide knives, cutters, or other tungsten carbide tools (FCN 1405)."," The FCSs will be used in contact with all food types in the pH range of >7 for repeat use articles.",04/15/2014," Categorical Exclusion 25.32(j)"," Categorical Exclusion Memo"
=T("1406"),,,,,," Silicon nitride ceramic.",," CERATIZIT S.A."," CERATIZIT S.A."," The FCS is intended for use in seal rings and bearings for food processing equipment including pumps."," The FCSs will be used in contact with all food types in all pH ranges.",04/15/2014," Categorical Exclusion 25.32(j)"," Categorical Exclusion Memo"
=T("1408"),,,,,," Copolymer of polyethylene glycol dimethacrylate, trimethylolpropane trimethacrylate and 2-hydroxyethyl methacrylate.",," Smithers Pira"," Pall Corporation"," For use as a repeated use microbial filter intended to clarify water, except for use in packaging of infant formula and breast milk (see Limitations/Specifications)."," The FCS will be used in a membrane cartridge for filtration of water. The membrane cartridge is to be manufactured and used as specified in the submission. The safety of usage of the FCS in contact with infant formula and breast milk has not been evaluated.",04/17/2014," Categorical Exclusion 25.32(j)"," Categorical Exclusion Memo"
=T("1409"),,,,,," Ethylene/propylene copolymers (CAS Reg. No. 9010-79-1) polymerized in the presence of propylene homopolymer (CAS Reg. No. 9003-07-0) complying with 21 CFR 177.1520(c) Item 1.1, to produce an inseparable blend of the two polymers.",," Propilco S.A."," Esenttia S.A."," As a basic polymer used in the production of articles intended to contact food, except for use in contact with infant formula and breast milk (see Limitations/Specifications)."," The final blend incorporating the FCS has a minimum number-average molecular weight of 25,000 Daltons and is intended for use in contact with all types of food under Conditions of Use A through H as described in Tables 1 and 2. Adjuvant substances permitted for use in olefin polymers complying with 21 CFR 177.1520 c, items 1.1, 3.1, and 3.2 may also be used in this food-contact substance, subject to the prescribed limitations and specifications. The FCS is not for use in contact with infant formula and breast milk. Such uses were not included as part of the intended use of the substance in the FCN.",04/22/2014," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
=T("1410"),,,,,," Hexadecyltrimethylammonium bromide modified montmorillonite organoclay.",," Packaging, Transport and Logistic Center (ITENE)"," Packaging, Transport and Logistic Center (ITENE)<br>BYK-Chemie GmbH"," As an additive in polylactic acid polymers (PLA), except for use in contact with infant formula and breast milk (see Limitations/Specifications)."," Use in levels up to 5 percent by weight in PLA water bottles for contact with food type I, under Condition of Use E, as described in Tables 1 and 2, respectively. The FCS is not for use in contact with infant formula and breast milk.  Such uses were not included as part of the intended use of the substance in the FCN.",04/30/2014," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("1411"),,,,,," N-ethyl-p-toluenesulfonamide (CAS Reg. No. 80-39-7).",," Berry Plastics Corporation"," Berry Plastics Corporation"," As a component of ink formulations for use on beverage cups made of polypropylene complying with 21 CFR 177.1520(c)(1.1a)."," The ink formulation containing the FCS will be applied at 0.093g per 16-oz cup, reverse printed onto polypropylene film layer prior to its lamination onto the non-food contact side of cellular polypropylene cups of 0.046 to 0.067 thickness. The cup may hold hot-fill (maximum 93&deg;C fill), cold, and frozen beverages/liquids, i.e. aqueous &amp; acidic and alcoholic (&le; 10% alcohol content) foods.",07/12/2014," Categorical Exclusion 25.32(i)"," Categorical Exclusion Memo"
=T("1412"),,,,,," Dipropylene glycol monomethyl ether (CAS Reg. No. 34590-94-8).",," Berry Plastics Corporation"," Berry Plastics Corporation"," As a component of ink formulations for use on beverage cups made of polypropylene complying with 21 CFR 177.1520(c)(1.1a)."," The ink formulation containing the FCS will be reverse printed onto polypropylene film layer prior to its lamination onto the non-food contact side of cellular polypropylene cups of 0.046 to 0.067 thickness. The cup may hold hot-fill (maximum 100&deg;C fill), cold, and frozen beverages/liquids, i.e. aqueous &amp; acidic and alcoholic (&le; 10% alcohol content) foods.",09/30/2014," Environmental Assessment"," Finding of No Significant Impact (FONSI)"
