FCM and Articles Regulation, Annex I - Authorised Substances
Note: Group entries are split in different rows.
Export date: 12/03/2025 10:41:38
Header

"Substance Identifier"	""	



""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	
"phthalic acid, dibutyl ester"	"201-557-4"	"84-74-2"	"phthalic acid, dibutyl ester"	"84-74-2"	"157"	"74880"	"yes"	"no"	"no"	""	"G36 Group Restriction No. 36 corresponds to FCM substance No. 157,159,283,1085. Group restriction specification is expressed as DEHP equivalents using the following equation: DBPx5 + DIBPx4 + BBPx0.1 + DEHPx1."	"157,159,283,1085"	"0.6 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles contacting non-fatty foods;(b)technical support agent in polyolefins in concentrations up to 0,05 % in the final product."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account.V4a Compliance testing when there is a fat contact shall be performed using saturated fatty food simulants as simulant D2."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085"	""	"As DEHP equivalents using the equation: DBPx5+DIBPx4+ BBPx0.1+DEHPx1"	
"phthalic acid, diesters with primary, saturated C8-C10 branched alcohols, more than 60 % C9"	"-"	"-"	"phthalic acid, diesters with primary, saturated C8-C10 branched alcohols, more than 60 % C9"	""	"728"	"75100"	"yes"	"no"	"no"	""	"G26 Group Restriction No. 26 corresponds to FCM substance No. 728,729. Group restriction specification is expressed as the sum of the substances."	"728,729"	"1.8 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae;(c)technical support agent in concentrations up to 0,1 % in the final product.Not to be used in combination with FCM substances 157, 159, 283, or 1085."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085eupn4 Infant, infant formula and follow-on formula as defined in Article 2(2) of Regulation (EU) No 609/2013 of the European Parliament and of the Council of 12 June 2013on food intended for infants and young children, food for special medical purposes, and total diet replacement for weight control and repealing Council Directive 92/52/EEC, Commission Directives 96/8/EC, 1999/21/EC, 2006/125/EC and 2006/141/EC, Directive 2009/39/EC of the European Parliament and of the Council and Commission Regulations (EC) No 41/2009 and (EC) No 953/2009 (OJ L 181, 29.6.2013, p. 35)."	""	"As the sum of the substances"	
"Bis(2-ethyloctyl) phthalate"	"288-640-9"	"85851-81-6"	"phthalic acid, diesters with primary, saturated C8-C10 branched alcohols, more than 60 % C9"	""	"728"	"75100"	"yes"	"no"	"no"	""	"G26 Group Restriction No. 26 corresponds to FCM substance No. 728,729. Group restriction specification is expressed as the sum of the substances."	"728,729"	"1.8 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae;(c)technical support agent in concentrations up to 0,1 % in the final product.Not to be used in combination with FCM substances 157, 159, 283, or 1085."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085eupn4 Infant, infant formula and follow-on formula as defined in Article 2(2) of Regulation (EU) No 609/2013 of the European Parliament and of the Council of 12 June 2013on food intended for infants and young children, food for special medical purposes, and total diet replacement for weight control and repealing Council Directive 92/52/EEC, Commission Directives 96/8/EC, 1999/21/EC, 2006/125/EC and 2006/141/EC, Directive 2009/39/EC of the European Parliament and of the Council and Commission Regulations (EC) No 41/2009 and (EC) No 953/2009 (OJ L 181, 29.6.2013, p. 35)."	""	"As the sum of the substances"	
"Isononyl isooctyl phthalate"	"306-190-4"	"96532-79-5"	"phthalic acid, diesters with primary, saturated C8-C10 branched alcohols, more than 60 % C9"	""	"728"	"75100"	"yes"	"no"	"no"	""	"G26 Group Restriction No. 26 corresponds to FCM substance No. 728,729. Group restriction specification is expressed as the sum of the substances."	"728,729"	"1.8 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae;(c)technical support agent in concentrations up to 0,1 % in the final product.Not to be used in combination with FCM substances 157, 159, 283, or 1085."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085eupn4 Infant, infant formula and follow-on formula as defined in Article 2(2) of Regulation (EU) No 609/2013 of the European Parliament and of the Council of 12 June 2013on food intended for infants and young children, food for special medical purposes, and total diet replacement for weight control and repealing Council Directive 92/52/EEC, Commission Directives 96/8/EC, 1999/21/EC, 2006/125/EC and 2006/141/EC, Directive 2009/39/EC of the European Parliament and of the Council and Commission Regulations (EC) No 41/2009 and (EC) No 953/2009 (OJ L 181, 29.6.2013, p. 35)."	""	"As the sum of the substances"	
"2,5-dimethylheptyl 4-methyloctyl phthalate"	"288-635-1"	"85851-76-9"	"phthalic acid, diesters with primary, saturated C8-C10 branched alcohols, more than 60 % C9"	""	"728"	"75100"	"yes"	"no"	"no"	""	"G26 Group Restriction No. 26 corresponds to FCM substance No. 728,729. Group restriction specification is expressed as the sum of the substances."	"728,729"	"1.8 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae;(c)technical support agent in concentrations up to 0,1 % in the final product.Not to be used in combination with FCM substances 157, 159, 283, or 1085."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085eupn4 Infant, infant formula and follow-on formula as defined in Article 2(2) of Regulation (EU) No 609/2013 of the European Parliament and of the Council of 12 June 2013on food intended for infants and young children, food for special medical purposes, and total diet replacement for weight control and repealing Council Directive 92/52/EEC, Commission Directives 96/8/EC, 1999/21/EC, 2006/125/EC and 2006/141/EC, Directive 2009/39/EC of the European Parliament and of the Council and Commission Regulations (EC) No 41/2009 and (EC) No 953/2009 (OJ L 181, 29.6.2013, p. 35)."	""	"As the sum of the substances"	
"Bis(1-methylheptyl) phthalate"	"205-014-2"	"131-15-7"	"phthalic acid, diesters with primary, saturated C8-C10 branched alcohols, more than 60 % C9"	""	"728"	"75100"	"yes"	"no"	"no"	""	"G26 Group Restriction No. 26 corresponds to FCM substance No. 728,729. Group restriction specification is expressed as the sum of the substances."	"728,729"	"1.8 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae;(c)technical support agent in concentrations up to 0,1 % in the final product.Not to be used in combination with FCM substances 157, 159, 283, or 1085."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085eupn4 Infant, infant formula and follow-on formula as defined in Article 2(2) of Regulation (EU) No 609/2013 of the European Parliament and of the Council of 12 June 2013on food intended for infants and young children, food for special medical purposes, and total diet replacement for weight control and repealing Council Directive 92/52/EEC, Commission Directives 96/8/EC, 1999/21/EC, 2006/125/EC and 2006/141/EC, Directive 2009/39/EC of the European Parliament and of the Council and Commission Regulations (EC) No 41/2009 and (EC) No 953/2009 (OJ L 181, 29.6.2013, p. 35)."	""	"As the sum of the substances"	
"1,2-Benzenedicarboxylic acid, bis(2,5-dimethylhexyl) ester"	"-"	"104719-70-2"	"phthalic acid, diesters with primary, saturated C8-C10 branched alcohols, more than 60 % C9"	""	"728"	"75100"	"yes"	"no"	"no"	""	"G26 Group Restriction No. 26 corresponds to FCM substance No. 728,729. Group restriction specification is expressed as the sum of the substances."	"728,729"	"1.8 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae;(c)technical support agent in concentrations up to 0,1 % in the final product.Not to be used in combination with FCM substances 157, 159, 283, or 1085."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085eupn4 Infant, infant formula and follow-on formula as defined in Article 2(2) of Regulation (EU) No 609/2013 of the European Parliament and of the Council of 12 June 2013on food intended for infants and young children, food for special medical purposes, and total diet replacement for weight control and repealing Council Directive 92/52/EEC, Commission Directives 96/8/EC, 1999/21/EC, 2006/125/EC and 2006/141/EC, Directive 2009/39/EC of the European Parliament and of the Council and Commission Regulations (EC) No 41/2009 and (EC) No 953/2009 (OJ L 181, 29.6.2013, p. 35)."	""	"As the sum of the substances"	
"Bis(2-propylheptyl) phthalate"	"258-469-4"	"53306-54-0"	"phthalic acid, diesters with primary, saturated C8-C10 branched alcohols, more than 60 % C9"	""	"728"	"75100"	"yes"	"no"	"no"	""	"G26 Group Restriction No. 26 corresponds to FCM substance No. 728,729. Group restriction specification is expressed as the sum of the substances."	"728,729"	"1.8 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae;(c)technical support agent in concentrations up to 0,1 % in the final product.Not to be used in combination with FCM substances 157, 159, 283, or 1085."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085eupn4 Infant, infant formula and follow-on formula as defined in Article 2(2) of Regulation (EU) No 609/2013 of the European Parliament and of the Council of 12 June 2013on food intended for infants and young children, food for special medical purposes, and total diet replacement for weight control and repealing Council Directive 92/52/EEC, Commission Directives 96/8/EC, 1999/21/EC, 2006/125/EC and 2006/141/EC, Directive 2009/39/EC of the European Parliament and of the Council and Commission Regulations (EC) No 41/2009 and (EC) No 953/2009 (OJ L 181, 29.6.2013, p. 35)."	""	"As the sum of the substances"	
"2-ethylhexyl isononyl phthalate"	"288-652-4"	"85851-92-9"	"phthalic acid, diesters with primary, saturated C8-C10 branched alcohols, more than 60 % C9"	""	"728"	"75100"	"yes"	"no"	"no"	""	"G26 Group Restriction No. 26 corresponds to FCM substance No. 728,729. Group restriction specification is expressed as the sum of the substances."	"728,729"	"1.8 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae;(c)technical support agent in concentrations up to 0,1 % in the final product.Not to be used in combination with FCM substances 157, 159, 283, or 1085."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085eupn4 Infant, infant formula and follow-on formula as defined in Article 2(2) of Regulation (EU) No 609/2013 of the European Parliament and of the Council of 12 June 2013on food intended for infants and young children, food for special medical purposes, and total diet replacement for weight control and repealing Council Directive 92/52/EEC, Commission Directives 96/8/EC, 1999/21/EC, 2006/125/EC and 2006/141/EC, Directive 2009/39/EC of the European Parliament and of the Council and Commission Regulations (EC) No 41/2009 and (EC) No 953/2009 (OJ L 181, 29.6.2013, p. 35)."	""	"As the sum of the substances"	
"6-methylheptyl 8-methylnonyl phthalate"	"204-293-8"	"119-05-1"	"phthalic acid, diesters with primary, saturated C8-C10 branched alcohols, more than 60 % C9"	""	"728"	"75100"	"yes"	"no"	"no"	""	"G26 Group Restriction No. 26 corresponds to FCM substance No. 728,729. Group restriction specification is expressed as the sum of the substances."	"728,729"	"1.8 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae;(c)technical support agent in concentrations up to 0,1 % in the final product.Not to be used in combination with FCM substances 157, 159, 283, or 1085."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085eupn4 Infant, infant formula and follow-on formula as defined in Article 2(2) of Regulation (EU) No 609/2013 of the European Parliament and of the Council of 12 June 2013on food intended for infants and young children, food for special medical purposes, and total diet replacement for weight control and repealing Council Directive 92/52/EEC, Commission Directives 96/8/EC, 1999/21/EC, 2006/125/EC and 2006/141/EC, Directive 2009/39/EC of the European Parliament and of the Council and Commission Regulations (EC) No 41/2009 and (EC) No 953/2009 (OJ L 181, 29.6.2013, p. 35)."	""	"As the sum of the substances"	
"3-ethylheptyl 2,5-dimethylheptyl phthalate"	"307-707-6"	"97692-55-2"	"phthalic acid, diesters with primary, saturated C8-C10 branched alcohols, more than 60 % C9"	""	"728"	"75100"	"yes"	"no"	"no"	""	"G26 Group Restriction No. 26 corresponds to FCM substance No. 728,729. Group restriction specification is expressed as the sum of the substances."	"728,729"	"1.8 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae;(c)technical support agent in concentrations up to 0,1 % in the final product.Not to be used in combination with FCM substances 157, 159, 283, or 1085."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085eupn4 Infant, infant formula and follow-on formula as defined in Article 2(2) of Regulation (EU) No 609/2013 of the European Parliament and of the Council of 12 June 2013on food intended for infants and young children, food for special medical purposes, and total diet replacement for weight control and repealing Council Directive 92/52/EEC, Commission Directives 96/8/EC, 1999/21/EC, 2006/125/EC and 2006/141/EC, Directive 2009/39/EC of the European Parliament and of the Council and Commission Regulations (EC) No 41/2009 and (EC) No 953/2009 (OJ L 181, 29.6.2013, p. 35)."	""	"As the sum of the substances"	
"Bis(2-ethylhexyl) phthalate"	"204-211-0"	"117-81-7"	"phthalic acid, diesters with primary, saturated C8-C10 branched alcohols, more than 60 % C9"	""	"728"	"75100"	"yes"	"no"	"no"	""	"G26 Group Restriction No. 26 corresponds to FCM substance No. 728,729. Group restriction specification is expressed as the sum of the substances."	"728,729"	"1.8 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae;(c)technical support agent in concentrations up to 0,1 % in the final product.Not to be used in combination with FCM substances 157, 159, 283, or 1085."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085eupn4 Infant, infant formula and follow-on formula as defined in Article 2(2) of Regulation (EU) No 609/2013 of the European Parliament and of the Council of 12 June 2013on food intended for infants and young children, food for special medical purposes, and total diet replacement for weight control and repealing Council Directive 92/52/EEC, Commission Directives 96/8/EC, 1999/21/EC, 2006/125/EC and 2006/141/EC, Directive 2009/39/EC of the European Parliament and of the Council and Commission Regulations (EC) No 41/2009 and (EC) No 953/2009 (OJ L 181, 29.6.2013, p. 35)."	""	"As the sum of the substances"	
"4-methyloctyl 6-methyloctyl phthalate"	"288-637-2"	"85851-78-1"	"phthalic acid, diesters with primary, saturated C8-C10 branched alcohols, more than 60 % C9"	""	"728"	"75100"	"yes"	"no"	"no"	""	"G26 Group Restriction No. 26 corresponds to FCM substance No. 728,729. Group restriction specification is expressed as the sum of the substances."	"728,729"	"1.8 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae;(c)technical support agent in concentrations up to 0,1 % in the final product.Not to be used in combination with FCM substances 157, 159, 283, or 1085."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085eupn4 Infant, infant formula and follow-on formula as defined in Article 2(2) of Regulation (EU) No 609/2013 of the European Parliament and of the Council of 12 June 2013on food intended for infants and young children, food for special medical purposes, and total diet replacement for weight control and repealing Council Directive 92/52/EEC, Commission Directives 96/8/EC, 1999/21/EC, 2006/125/EC and 2006/141/EC, Directive 2009/39/EC of the European Parliament and of the Council and Commission Regulations (EC) No 41/2009 and (EC) No 953/2009 (OJ L 181, 29.6.2013, p. 35)."	""	"As the sum of the substances"	
"Di-''isononyl'' phthalate"	"249-079-5"	"28553-12-0"	"phthalic acid, diesters with primary, saturated C8-C10 branched alcohols, more than 60 % C9"	""	"728"	"75100"	"yes"	"no"	"no"	""	"G26 Group Restriction No. 26 corresponds to FCM substance No. 728,729. Group restriction specification is expressed as the sum of the substances."	"728,729"	"1.8 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae;(c)technical support agent in concentrations up to 0,1 % in the final product.Not to be used in combination with FCM substances 157, 159, 283, or 1085."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085eupn4 Infant, infant formula and follow-on formula as defined in Article 2(2) of Regulation (EU) No 609/2013 of the European Parliament and of the Council of 12 June 2013on food intended for infants and young children, food for special medical purposes, and total diet replacement for weight control and repealing Council Directive 92/52/EEC, Commission Directives 96/8/EC, 1999/21/EC, 2006/125/EC and 2006/141/EC, Directive 2009/39/EC of the European Parliament and of the Council and Commission Regulations (EC) No 41/2009 and (EC) No 953/2009 (OJ L 181, 29.6.2013, p. 35)."	""	"As the sum of the substances"	
"Di-''isodecyl'' phthalate"	"247-977-1"	"26761-40-0"	"phthalic acid, diesters with primary, saturated C8-C10 branched alcohols, more than 60 % C9"	""	"728"	"75100"	"yes"	"no"	"no"	""	"G26 Group Restriction No. 26 corresponds to FCM substance No. 728,729. Group restriction specification is expressed as the sum of the substances."	"728,729"	"1.8 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae;(c)technical support agent in concentrations up to 0,1 % in the final product.Not to be used in combination with FCM substances 157, 159, 283, or 1085."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085eupn4 Infant, infant formula and follow-on formula as defined in Article 2(2) of Regulation (EU) No 609/2013 of the European Parliament and of the Council of 12 June 2013on food intended for infants and young children, food for special medical purposes, and total diet replacement for weight control and repealing Council Directive 92/52/EEC, Commission Directives 96/8/EC, 1999/21/EC, 2006/125/EC and 2006/141/EC, Directive 2009/39/EC of the European Parliament and of the Council and Commission Regulations (EC) No 41/2009 and (EC) No 953/2009 (OJ L 181, 29.6.2013, p. 35)."	""	"As the sum of the substances"	
"Bis(8-methylnonyl) phthalate"	"201-884-2"	"89-16-7"	"phthalic acid, diesters with primary, saturated C8-C10 branched alcohols, more than 60 % C9"	""	"728"	"75100"	"yes"	"no"	"no"	""	"G26 Group Restriction No. 26 corresponds to FCM substance No. 728,729. Group restriction specification is expressed as the sum of the substances."	"728,729"	"1.8 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae;(c)technical support agent in concentrations up to 0,1 % in the final product.Not to be used in combination with FCM substances 157, 159, 283, or 1085."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085eupn4 Infant, infant formula and follow-on formula as defined in Article 2(2) of Regulation (EU) No 609/2013 of the European Parliament and of the Council of 12 June 2013on food intended for infants and young children, food for special medical purposes, and total diet replacement for weight control and repealing Council Directive 92/52/EEC, Commission Directives 96/8/EC, 1999/21/EC, 2006/125/EC and 2006/141/EC, Directive 2009/39/EC of the European Parliament and of the Council and Commission Regulations (EC) No 41/2009 and (EC) No 953/2009 (OJ L 181, 29.6.2013, p. 35)."	""	"As the sum of the substances"	
"Bis(2,5-dimethylheptyl) phthalate"	"286-802-3"	"85391-48-6"	"phthalic acid, diesters with primary, saturated C8-C10 branched alcohols, more than 60 % C9"	""	"728"	"75100"	"yes"	"no"	"no"	""	"G26 Group Restriction No. 26 corresponds to FCM substance No. 728,729. Group restriction specification is expressed as the sum of the substances."	"728,729"	"1.8 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae;(c)technical support agent in concentrations up to 0,1 % in the final product.Not to be used in combination with FCM substances 157, 159, 283, or 1085."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085eupn4 Infant, infant formula and follow-on formula as defined in Article 2(2) of Regulation (EU) No 609/2013 of the European Parliament and of the Council of 12 June 2013on food intended for infants and young children, food for special medical purposes, and total diet replacement for weight control and repealing Council Directive 92/52/EEC, Commission Directives 96/8/EC, 1999/21/EC, 2006/125/EC and 2006/141/EC, Directive 2009/39/EC of the European Parliament and of the Council and Commission Regulations (EC) No 41/2009 and (EC) No 953/2009 (OJ L 181, 29.6.2013, p. 35)."	""	"As the sum of the substances"	
"2-ethylhexyl nonyl phthalate"	"288-646-1"	"85851-86-1"	"phthalic acid, diesters with primary, saturated C8-C10 branched alcohols, more than 60 % C9"	""	"728"	"75100"	"yes"	"no"	"no"	""	"G26 Group Restriction No. 26 corresponds to FCM substance No. 728,729. Group restriction specification is expressed as the sum of the substances."	"728,729"	"1.8 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae;(c)technical support agent in concentrations up to 0,1 % in the final product.Not to be used in combination with FCM substances 157, 159, 283, or 1085."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085eupn4 Infant, infant formula and follow-on formula as defined in Article 2(2) of Regulation (EU) No 609/2013 of the European Parliament and of the Council of 12 June 2013on food intended for infants and young children, food for special medical purposes, and total diet replacement for weight control and repealing Council Directive 92/52/EEC, Commission Directives 96/8/EC, 1999/21/EC, 2006/125/EC and 2006/141/EC, Directive 2009/39/EC of the European Parliament and of the Council and Commission Regulations (EC) No 41/2009 and (EC) No 953/2009 (OJ L 181, 29.6.2013, p. 35)."	""	"As the sum of the substances"	
"Isodecyl isononyl phthalate"	"285-916-0"	"85168-75-8"	"phthalic acid, diesters with primary, saturated C8-C10 branched alcohols, more than 60 % C9"	""	"728"	"75100"	"yes"	"no"	"no"	""	"G26 Group Restriction No. 26 corresponds to FCM substance No. 728,729. Group restriction specification is expressed as the sum of the substances."	"728,729"	"1.8 mg/kg"	"Only to be used as: (a)plasticiser in repeated use materials and articles;(b)plasticiser in single-use materials and articles contacting non-fatty foods except for infant formulae and follow-on formulae;(c)technical support agent in concentrations up to 0,1 % in the final product.Not to be used in combination with FCM substances 157, 159, 283, or 1085."	"V7 If testing in food is performed, Annex V 1.4 shall be taken into account."	"eupn3 Diisobutyl phthalate, FCM No 1085, with synonyms 1,2-bis(2-methylpropyl) benzene-1,2-dicarboxylate or ‘DIBP’ and CAS number 84-69-5 is not listed as an authorised substance in Table 1. However, it may co-occur with other phthalates as a consequence of its use as an aid to polymerisation and is included in group restrictions with the assignment FCM No 1085eupn4 Infant, infant formula and follow-on formula as defined in Article 2(2) of Regulation (EU) No 609/2013 of the European Parliament and of the Council of 12 June 2013on food intended for infants and young children, food for special medical purposes, and total diet replacement for weight control and repealing Council Directive 92/52/EEC, Commission Directives 96/8/EC, 1999/21/EC, 2006/125/EC and 2006/141/EC, Directive 2009/39/EC of the European Parliament and of the Council and Commission Regulations (EC) No 41/2009 and (EC) No 953/2009 (OJ L 181, 29.6.2013, p. 35)."	""	"As the sum of the substances"	
